title,game_url,active,visits,creator,universe_id,checked_at_utc
Edenville,https://www.roblox.com/games/115903978623312/,165,367170,Nocturne Entertainment,9320646231,2026-09-20 22:29
Get More Power🔥,https://www.roblox.com/games/77713551993388/,165,396396,Improving Games,9983961640,2026-09-20 22:29
Guess Clubs For Soccer Player,https://www.roblox.com/games/77088157898468/,164,476243,Chiftibuis Incorporations,10764477339,2026-09-20 22:29
[v0.2.1+]  Upgrade Tree of The Universe,https://www.roblox.com/games/122097238242628/,164,228619,SolarsStudio,7198360975,2026-09-20 22:29
[W2] +1 Speed Gravity Escape,https://www.roblox.com/games/128902706868301/,163,167829,+3 CCU,10394685572,2026-09-20 22:29
+1 Robot Evolution,https://www.roblox.com/games/91515792522336/,161,249568,BLOCKY ROBOT,10624995866,2026-09-20 22:29
Merge An Empire 👑,https://www.roblox.com/games/94002887790636/,160,145188,V&V Fun,10722075131,2026-09-20 22:29
🌱 Garden Architect 2,https://www.roblox.com/games/70983712774203/,160,329461,Finite Works,10664878933,2026-09-20 22:29
Steal A Verity ,https://www.roblox.com/games/128283571768565/,160,202897,HTRP Games,10763767230,2026-09-20 22:29
[🎨] Hide In Paintings,https://www.roblox.com/games/71274660353135/,160,51354,Vyxen,10558880394,2026-09-20 22:29
DAS H00D [CAT!],https://www.roblox.com/games/120640903699298/,159,115689,3ivmn,10765931744,2026-09-20 22:29
[UPDATE!] Greedy Eggs🥚,https://www.roblox.com/games/79042979041505/,159,166726,Random Ahhh Games,10753796828,2026-09-20 22:29
[NEW] Be Sea Dino - Marine Dinosaur Simulator ,https://www.roblox.com/games/111682108389602/,158,413220,Be Sea Dino,10637312353,2026-09-20 22:29
Steal a Capybara Egg,https://www.roblox.com/games/104941003896018/,157,56636,CookieASMR,10765879443,2026-09-20 22:29
Tapborne Heroes,https://www.roblox.com/games/80519520593681/,156,63045,Kokoyume,10511383856,2026-09-20 22:29
[Stress Test 4] Practical Basketball 2.0,https://www.roblox.com/games/113934163174779/,155,344945,Public Gym 2.0,10164948473,2026-09-20 22:29
Build A Gun Army Against Verity,https://www.roblox.com/games/115641138183527/,154,200936,1000000 CCU PLS,10764512043,2026-09-20 22:29
Defend the Farm! [CELESTIAL + QOL],https://www.roblox.com/games/107600408507623/,154,157684,LFG.Studio,10321330868,2026-09-20 22:29
(🔫FREE 850K💵) Chicago Streets,https://www.roblox.com/games/130807786377380/,153,153861,Risk Prods,10573819368,2026-09-20 22:29
Survive Waves for Eggs,https://www.roblox.com/games/116171994447332/,150,75435,Meno Soldi,10764649445,2026-09-20 22:29
Verity Roleplay 3D [UPD!] ⚪,https://www.roblox.com/games/72010996949935/,149,452046,Yellow Ball World,10689744256,2026-09-20 22:29
[⚽️] Logo for Soccer Card,https://www.roblox.com/games/78544890108997/,148,130123,Kings Of Tashkent,10623430847,2026-09-20 22:29
Dont Steal SCP Monsters,https://www.roblox.com/games/134282913073145/,148,289974,Scp Boxes!,10748645481,2026-09-20 22:29
[UPD 4🚗] Punch Lucky Blocks For Cars!,https://www.roblox.com/games/131911637331495/,148,275940,Rot Brothers,10754231978,2026-09-20 22:29
[UPD 4🐱] Floppa Incremental,https://www.roblox.com/games/119585769811611/,147,200601,Grand Blue Studios,10334028537,2026-09-20 22:29
METRO LA RP V2 💥 | (NEW HOODS),https://www.roblox.com/games/93987003332201/,147,104743,sabwarrior_8,10764364645,2026-09-20 22:29
[🌘] Fall for Animals 🪂,https://www.roblox.com/games/93139739987803/,146,223516,{ CLASSIFIED },10763812743,2026-09-20 22:29
SKYFIRE [BETA],https://www.roblox.com/games/137029702070476/,146,177290,Tishina Games,10765787700,2026-09-20 22:29
[💸] Simple DONATIONS,https://www.roblox.com/games/127213917680436/,145,469083,Dusk's Studios.,10762175328,2026-09-20 22:29
Princess Tycoon 👸,https://www.roblox.com/games/117014085659242/,145,364507,Tycoonbox Games,10680220259,2026-09-20 22:29
Find the Slimes [116],https://www.roblox.com/games/74778834705732/,144,70817,Findiverse Studios,10764249175,2026-09-20 22:29
Brainrot Lifting Ascension ,https://www.roblox.com/games/138213911773450/,144,366168,Lifting Ascension Studios,10612183807,2026-09-20 22:29
Skate for Animals!,https://www.roblox.com/games/93689328551068/,143,260595,no more +1,10765629147,2026-09-20 22:29
(UPD) Sharks and Minnows 🦈,https://www.roblox.com/games/131351806241006/,143,134571,Main Melon Studios,10683598666,2026-09-20 22:29
🌾Clean All the Hay & Find the Pin! ,https://www.roblox.com/games/109458077032333/,143,315316,Hay Games!,10756613885,2026-09-20 22:29
Clean the Beach [UPDATE❄️],https://www.roblox.com/games/98491176124242/,142,222999,Speedy Clothes,10738251346,2026-09-20 22:29
a killing game,https://www.roblox.com/games/94880471121083/,142,397744,Drake's Biggest Fan Games,10644599993,2026-09-20 22:29
🔥 OUTLAW,https://www.roblox.com/games/98379798344317/,142,64990,MMH Games,10594223710,2026-09-20 22:29
Deathmatch 💀 [FPS],https://www.roblox.com/games/136783387832824/,138,467249,BLOXXED! Community,10680167094,2026-09-20 22:29
STRAY KIDS Card Collection,https://www.roblox.com/games/97627047564301/,137,117807,For STAY,10487700109,2026-09-20 22:29
Murder Mystery: Knife vs Gun,https://www.roblox.com/games/88125382979442/,134,249740,Super Epic Towers,10555024633,2026-09-20 22:29
Roll Cases for Brainrots,https://www.roblox.com/games/136595019906133/,134,335131,RNG Cases Community!,10765894370,2026-09-20 22:29
Build The Pyramids [💾],https://www.roblox.com/games/137412037008013/,134,121657,PineappleDevx,10470599649,2026-09-20 22:29
[UPD] Balloon Up🎈(Don't Let It Fall),https://www.roblox.com/games/89285562174488/,132,262160,Tap The Balloon,10589904353,2026-09-20 22:29
Fleet Empire [ALPHA],https://www.roblox.com/games/128776499486135/,132,40630,Concrete Rose Studios,10765579304,2026-09-20 22:29
📦 Unbox All the Boxes!,https://www.roblox.com/games/78237229306025/,130,94462,Broke Boys Games,10753206079,2026-09-20 22:29
OVER-DRILLED [BETA v0.4.17],https://www.roblox.com/games/98959853442226/,130,78131,JaBryDa Studios,10341397449,2026-09-20 22:29
[OL!] Football Fantasy 🏈 [TESTING],https://www.roblox.com/games/119440874529031/,129,486118,guv's games,10196192661,2026-09-20 22:29
Sit 🪑 ,https://www.roblox.com/games/89189421178613/,129,147438,your experience has reduced exposure,10765901462,2026-09-20 22:29
🎲 Build an XP Farm!,https://www.roblox.com/games/90951305434577/,128,92428,Pinuriyo,10683197286,2026-09-20 22:29
🌈 OPEN SAEM LUCKYBLOCK + MODZ,https://www.roblox.com/games/109811196191582/,128,297926,I WILL ALWAYS WIN,10765201912,2026-09-20 22:29
[🚧] Fix The Road,https://www.roblox.com/games/94721636699958/,128,322469,Sands Studio,10695120182,2026-09-20 22:29
「UPD」🔫Base Defense: Monster Siege,https://www.roblox.com/games/140283780128168/,126,436673,Frontline Fortress,10313969357,2026-09-20 22:29
Motorcycles VS Mud,https://www.roblox.com/games/139884672473377/,126,66362,TwistPlay.,10764508637,2026-09-20 22:29
Moto Empire [BETA],https://www.roblox.com/games/81225487834060/,125,243006,Codevo Games,10765457401,2026-09-20 22:29
Tap for Spidey!,https://www.roblox.com/games/105059933976328/,125,355766,Kings Of Tashkent,10625544952,2026-09-20 22:29
[x10] +1 Speed Lucky Block Escape,https://www.roblox.com/games/103729190248445/,124,394636,Made In 2 days,10640735738,2026-09-20 22:29
[🌙] Water a Desert 🌵,https://www.roblox.com/games/82155860068637/,124,94981,Stack Interactive.,10476427404,2026-09-20 22:29
Run a Hospital 🏥,https://www.roblox.com/games/105962804239479/,123,80451,Doctor's Orders,10664602858,2026-09-20 22:29
+1 Penguin Evolution,https://www.roblox.com/games/94214887237328/,123,215906,UnemployedDuo,10764557038,2026-09-20 22:29
+1 Turret Evolution,https://www.roblox.com/games/102009920267605/,122,305218,Perfect Aim,10470716981,2026-09-20 22:29
[🌌UPD] Anime Card RNG  🎲 ,https://www.roblox.com/games/112600975620784/,122,433501,Card Printers,10624887928,2026-09-20 22:29
[🥣] Make a Giant Cereal,https://www.roblox.com/games/93271343991796/,121,65521,Garden Quest,10764269181,2026-09-20 22:29
[🥚UPDATE] Slime Park,https://www.roblox.com/games/108452008173707/,121,137739,Bankrupt Studios Inc.,10126542897,2026-09-20 22:29
Rockstar Swimming Pool,https://www.roblox.com/games/80007071186659/,120,144829,Please pray for me,10236106806,2026-09-20 22:29
Drill for Eggs,https://www.roblox.com/games/120656419209274/,120,45403,Future Cooks,10766721625,2026-09-20 22:29
Raids & Riches [Alpha],https://www.roblox.com/games/101789045531886/,120,366098,Raids & Riches,10108900736,2026-09-20 22:29
